Spp,NomSci,Stock,Linf,K,t0,tr,Amax,M,arlp,brlp,amat,bmat,L50,L95,Tspw,Fuente
sardina comun,Strangomera bentincki,Centro-Sur,18.1,0.745,-0.333,0.5,5,1,0.009,3,-23.2,2.02,8,10,0.583333333,Cubillos
anchoveta,Engraulis ringens,Centro-Sur,20.1,0.514,-0.049,0.5,5,0.7,0.007,3,-16.427,1.37,9,11,0.583333333,Cubillos
sardina austral,Sprattus fuenguensis,Regi—n Los Lagos,17.7,0.78,-0.48,0.5,6,1,0.007,3.038,-30.85,2.38,10.5,13.5,0.666666667,Aranis
langostino,Pleuroncodes monodon,Centro-Sur,44.6,0.179,-0.05,2,10,0.35,0.000104,3.458,-13.648,0.502,26,48.6,0.25,Cubillos
merluza cola,Macruronus magellanicus,Sur-Austral,101.3,0.176,-0.813,1,14,0.35,3.38E-03,2.961,-110,2,50,58,0.5,Chong
merluza gayi,Merluccius gayi,Centro-Sur,80.4,0.14,-0.972,2,12,0.3,1.30E-02,2.83,-68,2,34,37,0.58,
